grouping,outcome,group,n,percent,p_value,fdr_q_value
年龄,两类产品设计思路均答对,18—29 岁,33,27.3,0.111343,0.72446
年龄,两类产品设计思路均答对,30—39 岁,63,41.3,0.111343,0.72446
年龄,两类产品设计思路均答对,40—49 岁,70,48.6,0.111343,0.72446
年龄,两类产品设计思路均答对,50—59 岁,34,29.4,0.111343,0.72446
基金投资经验,两类产品设计思路均答对,不足 1 年,27,25.9,0.199109,0.72446
基金投资经验,两类产品设计思路均答对,1-3 年,81,35.8,0.199109,0.72446
基金投资经验,两类产品设计思路均答对,4-6 年,40,45.0,0.199109,0.72446
基金投资经验,两类产品设计思路均答对,6 年以上,52,48.1,0.199109,0.72446
年龄,希望了解未来配置变化,18—29 岁,33,30.3,0.131469,0.72446
年龄,希望了解未来配置变化,30—39 岁,63,33.3,0.131469,0.72446
年龄,希望了解未来配置变化,40—49 岁,70,37.1,0.131469,0.72446
年龄,希望了解未来配置变化,50—59 岁,34,14.7,0.131469,0.72446
